conferenceJournalId,proceedingsVolumeIds
con53,pro53
con86,pro86
con89,pro89
con51,pro51
con94,pro94
con50,pro50
con111,pro111
con105,pro105
con103,pro103
con32,pro32
con19,pro19
con57,pro57
con39,pro39
con57,pro57
con52,pro52
con98,pro98
con75,pro75
con6,pro6
con50,pro50
con85,pro85
con5,pro5
jou81,vol81
con48,pro48
con8,pro8
con102,pro102
con84,pro84
con91,pro91
con11,pro11
con74,pro74
jou133,vol133
con3,pro3
con51,pro51
con55,pro55
con70,pro70
jou109,vol109
con10,pro10
jou81,vol81
jou212,vol212
con23,pro23
con50,pro50
con2,pro2
con86,pro86
jou228,vol228
jou229,vol229
con49,pro49
con65,pro65
jou230,vol230
jou231,vol231
jou81,vol81
jou232,vol232
jou9,vol9
con21,pro21
jou233,vol233
jou234,vol234
con100,pro100
con56,pro56
con18,pro18
jou235,vol235
jou81,vol81
jou236,vol236
con88,pro88
con40,pro40
con56,pro56
jou237,vol237
con76,pro76
jou30,vol30
con14,pro14
jou81,vol81
con61,pro61
jou183,vol183
con3,pro3
jou238,vol238
jou235,vol235
jou239,vol239
con82,pro82
con87,pro87
con51,pro51
con47,pro47
jou240,vol240
jou22,vol22
jou241,vol241
jou229,vol229
jou242,vol242
con60,pro60
con67,pro67
jou81,vol81
con58,pro58
con58,pro58
jou243,vol243
con94,pro94
con5,pro5
jou244,vol244
con75,pro75
jou88,vol88
jou81,vol81
con31,pro31
con67,pro67
jou81,vol81
con11,pro11
jou22,vol22
jou81,vol81
jou103,vol103
con56,pro56
con98,pro98
con17,pro17
jou202,vol202
con78,pro78
con25,pro25
con60,pro60
jou0,vol0
con57,pro57
con22,pro22
jou245,vol245
con75,pro75
jou189,vol189
jou88,vol88
con110,pro110
con38,pro38
con39,pro39
jou246,vol246
con62,pro62
con34,pro34
con76,pro76
con80,pro80
con107,pro107
con63,pro63
con39,pro39
jou247,vol247
con21,pro21
jou106,vol106
con105,pro105
con34,pro34
jou248,vol248
con7,pro7
con53,pro53
con41,pro41
con77,pro77
con9,pro9
jou81,vol81
con39,pro39
con53,pro53
con108,pro108
jou7,vol7
con14,pro14
con56,pro56
jou249,vol249
jou250,vol250
jou251,vol251
con14,pro14
con102,pro102
jou252,vol252
jou158,vol158
con97,pro97
con105,pro105
con88,pro88
con30,pro30
con44,pro44
con28,pro28
con68,pro68
con78,pro78
con8,pro8
jou81,vol81
jou63,vol63
con71,pro71
con70,pro70
con58,pro58
con13,pro13
con87,pro87
con40,pro40
jou88,vol88
con25,pro25
con65,pro65
jou88,vol88
con82,pro82
jou147,vol147
con37,pro37
jou88,vol88
con0,pro0
con78,pro78
con16,pro16
jou22,vol22
jou253,vol253
con71,pro71
con103,pro103
con35,pro35
con75,pro75
con96,pro96
jou254,vol254
con106,pro106
jou106,vol106
jou103,vol103
con8,pro8
jou5,vol5
con24,pro24
jou255,vol255
con90,pro90
jou81,vol81
con95,pro95
jou2,vol2
jou187,vol187
con45,pro45
jou256,vol256
jou257,vol257
jou205,vol205
con100,pro100
jou243,vol243
jou258,vol258
con38,pro38
con66,pro66
jou259,vol259
jou260,vol260
con53,pro53
jou81,vol81
con26,pro26
con38,pro38
con5,pro5
jou22,vol22
con54,pro54
con73,pro73
con100,pro100
con107,pro107
con66,pro66
con82,pro82
con103,pro103
jou81,vol81
con73,pro73
con26,pro26
jou81,vol81
jou261,vol261
con50,pro50
jou262,vol262
jou81,vol81
jou103,vol103
con92,pro92
con83,pro83
jou263,vol263
con110,pro110
con2,pro2
jou264,vol264
jou5,vol5
con78,pro78
con102,pro102
jou81,vol81
con1,pro1
con23,pro23
con72,pro72
con97,pro97
con42,pro42
jou265,vol265
con34,pro34
con64,pro64
con84,pro84
jou266,vol266
jou267,vol267
con104,pro104
jou268,vol268
con106,pro106
jou269,vol269
jou270,vol270
jou271,vol271
con4,pro4
jou272,vol272
jou273,vol273
con11,pro11
con65,pro65
con0,pro0
con52,pro52
jou274,vol274
jou88,vol88
jou182,vol182
con50,pro50
con103,pro103
jou267,vol267
jou88,vol88
jou275,vol275
jou276,vol276
con79,pro79
jou277,vol277
con3,pro3
con4,pro4
con7,pro7
con10,pro10
con12,pro12
con42,pro42
con69,pro69
jou278,vol278
con35,pro35
con60,pro60
con68,pro68
con72,pro72
con104,pro104
con68,pro68
con8,pro8
con34,pro34
jou279,vol279
jou280,vol280
con53,pro53
con50,pro50
con15,pro15
jou281,vol281
con100,pro100
con77,pro77
con68,pro68
jou282,vol282
jou283,vol283
con68,pro68
con22,pro22
con16,pro16
con102,pro102
con88,pro88
con75,pro75
con21,pro21
con81,pro81
con20,pro20
con72,pro72
con99,pro99
jou284,vol284
jou285,vol285
con16,pro16
con77,pro77
con80,pro80
con49,pro49
con92,pro92
con78,pro78
con78,pro78
con106,pro106
jou286,vol286
con13,pro13
con63,pro63
con110,pro110
con41,pro41
jou133,vol133
con39,pro39
con11,pro11
jou100,vol100
con81,pro81
jou287,vol287
con73,pro73
con77,pro77
con48,pro48
con82,pro82
jou288,vol288
con80,pro80
con3,pro3
con29,pro29
con46,pro46
jou289,vol289
con41,pro41
con94,pro94
con110,pro110
con3,pro3
con72,pro72
con105,pro105
jou290,vol290
con0,pro0
con100,pro100
con78,pro78
con8,pro8
jou291,vol291
con31,pro31
con15,pro15
jou286,vol286
con73,pro73
con76,pro76
con66,pro66
con65,pro65
con83,pro83
con29,pro29
con46,pro46
con102,pro102
con64,pro64
con88,pro88
con62,pro62
jou292,vol292
con1,pro1
con83,pro83
jou290,vol290
con94,pro94
con63,pro63
con89,pro89
con77,pro77
jou293,vol293
con30,pro30
jou17,vol17
jou102,vol102
jou182,vol182
con85,pro85
con77,pro77
con30,pro30
jou294,vol294
jou295,vol295
con54,pro54
con76,pro76
con44,pro44
con28,pro28
con49,pro49
con77,pro77
jou129,vol129
con65,pro65
con24,pro24
con90,pro90
con66,pro66
jou296,vol296
con49,pro49
con58,pro58
jou297,vol297
con7,pro7
jou298,vol298
con82,pro82
con69,pro69
con60,pro60
con72,pro72
jou299,vol299
jou300,vol300
con78,pro78
jou17,vol17
jou9,vol9
con88,pro88
con59,pro59
con74,pro74
con84,pro84
jou301,vol301
jou302,vol302
con32,pro32
jou133,vol133
con34,pro34
con13,pro13
con110,pro110
jou303,vol303
con101,pro101
con66,pro66
con109,pro109
con108,pro108
con37,pro37
con95,pro95
con48,pro48
con54,pro54
con99,pro99
con61,pro61
jou219,vol219
jou266,vol266
con61,pro61
con57,pro57
con97,pro97
con84,pro84
con89,pro89
con108,pro108
con54,pro54
con3,pro3
con31,pro31
con34,pro34
jou304,vol304
con99,pro99
con22,pro22
con86,pro86
con31,pro31
con54,pro54
con15,pro15
con52,pro52
con76,pro76
con66,pro66
con101,pro101
con80,pro80
con89,pro89
jou219,vol219
jou305,vol305
con56,pro56
con43,pro43
jou306,vol306
con105,pro105
con108,pro108
con86,pro86
jou304,vol304
con45,pro45
con56,pro56
jou304,vol304
con6,pro6
con39,pro39
con14,pro14
con51,pro51
jou290,vol290
con104,pro104
con10,pro10
con37,pro37
con79,pro79
con29,pro29
con61,pro61
con25,pro25
con44,pro44
con21,pro21
con20,pro20
con1,pro1
con34,pro34
jou307,vol307
con77,pro77
con1,pro1
con24,pro24
con101,pro101
con58,pro58
con40,pro40
con42,pro42
con82,pro82
con35,pro35
con48,pro48
con13,pro13
con1,pro1
con41,pro41
con34,pro34
con59,pro59
con88,pro88
con37,pro37
con41,pro41
con34,pro34
jou304,vol304
con53,pro53
jou22,vol22
jou307,vol307
con4,pro4
con51,pro51
con45,pro45
jou308,vol308
con59,pro59
con7,pro7
con78,pro78
con79,pro79
con85,pro85
jou309,vol309
con20,pro20
jou310,vol310
con39,pro39
con32,pro32
con50,pro50
con83,pro83
con1,pro1
con97,pro97
con107,pro107
jou106,vol106
con37,pro37
con39,pro39
jou311,vol311
con3,pro3
jou312,vol312
con88,pro88
con71,pro71
con76,pro76
con57,pro57
jou312,vol312
con66,pro66
con11,pro11
con48,pro48
con43,pro43
con96,pro96
con76,pro76
con49,pro49
con104,pro104
con35,pro35
con46,pro46
con90,pro90
con14,pro14
con4,pro4
con111,pro111
con48,pro48
con88,pro88
con57,pro57
jou311,vol311
con68,pro68
con63,pro63
con24,pro24
con20,pro20
con20,pro20
con92,pro92
con95,pro95
con19,pro19
jou313,vol313
con60,pro60
jou314,vol314
jou266,vol266
con18,pro18
con75,pro75
jou182,vol182
con41,pro41
con56,pro56
con28,pro28
con101,pro101
con45,pro45
con14,pro14
con10,pro10
con71,pro71
con4,pro4
con96,pro96
con84,pro84
con56,pro56
con25,pro25
jou158,vol158
con107,pro107
con106,pro106
jou315,vol315
con34,pro34
jou316,vol316
con80,pro80
jou317,vol317
con73,pro73
con51,pro51
con60,pro60
con11,pro11
jou318,vol318
con23,pro23
con80,pro80
jou319,vol319
con21,pro21
con103,pro103
jou320,vol320
jou100,vol100
con52,pro52
jou321,vol321
con57,pro57
con33,pro33
con109,pro109
con42,pro42
con79,pro79
con23,pro23
con73,pro73
con70,pro70
con85,pro85
con46,pro46
con97,pro97
con96,pro96
con38,pro38
con78,pro78
con111,pro111
con13,pro13
con73,pro73
con18,pro18
jou182,vol182
con70,pro70
con86,pro86
con54,pro54
jou0,vol0
con37,pro37
con39,pro39
con95,pro95
jou182,vol182
con75,pro75
con10,pro10
jou133,vol133
con45,pro45
con82,pro82
con25,pro25
jou94,vol94
jou322,vol322
con22,pro22
con87,pro87
con61,pro61
con6,pro6
con56,pro56
con65,pro65
jou323,vol323
jou324,vol324
con74,pro74
con88,pro88
con93,pro93
jou322,vol322
con5,pro5
jou325,vol325
con65,pro65
con67,pro67
con19,pro19
jou326,vol326
con105,pro105
con104,pro104
jou290,vol290
jou322,vol322
jou327,vol327
jou328,vol328
jou182,vol182
jou329,vol329
jou328,vol328
con91,pro91
jou322,vol322
con84,pro84
con91,pro91
con105,pro105
con45,pro45
jou59,vol59
jou316,vol316
con37,pro37
con100,pro100
jou330,vol330
jou331,vol331
con3,pro3
con50,pro50
jou22,vol22
con60,pro60
con22,pro22
con81,pro81
jou332,vol332
con51,pro51
con35,pro35
con46,pro46
jou22,vol22
con78,pro78
con16,pro16
con37,pro37
jou333,vol333
con7,pro7
con11,pro11
con96,pro96
con103,pro103
con5,pro5
con81,pro81
jou334,vol334
jou335,vol335
con78,pro78
con43,pro43
jou304,vol304
con21,pro21
con92,pro92
jou290,vol290
con89,pro89
jou322,vol322
jou336,vol336
con81,pro81
con34,pro34
con99,pro99
con42,pro42
con5,pro5
con10,pro10
con53,pro53
con88,pro88
jou307,vol307
jou337,vol337
con46,pro46
con100,pro100
con73,pro73
con53,pro53
con98,pro98
con90,pro90
con72,pro72
con70,pro70
con88,pro88
con90,pro90
con91,pro91
con66,pro66
con87,pro87
jou338,vol338
con33,pro33
con23,pro23
con93,pro93
jou18,vol18
con68,pro68
con17,pro17
con94,pro94
jou240,vol240
con47,pro47
con41,pro41
jou290,vol290
con29,pro29
con76,pro76
jou106,vol106
con70,pro70
con108,pro108
con35,pro35
con95,pro95
con89,pro89
jou339,vol339
con107,pro107
con92,pro92
con93,pro93
jou81,vol81
con61,pro61
jou340,vol340
jou240,vol240
con12,pro12
jou55,vol55
jou308,vol308
con96,pro96
con97,pro97
con81,pro81
con94,pro94
con78,pro78
con22,pro22
con44,pro44
jou5,vol5
con76,pro76
con92,pro92
jou216,vol216
con91,pro91
con89,pro89
con73,pro73
jou184,vol184
con36,pro36
con62,pro62
jou316,vol316
con55,pro55
con35,pro35
con2,pro2
con49,pro49
con36,pro36
con103,pro103
con107,pro107
jou81,vol81
con86,pro86
con108,pro108
con85,pro85
con105,pro105
con84,pro84
con51,pro51
jou341,vol341
jou342,vol342
jou343,vol343
con78,pro78
con100,pro100
con73,pro73
jou344,vol344
jou345,vol345
con94,pro94
jou346,vol346
con111,pro111
con43,pro43
con100,pro100
con107,pro107
con74,pro74
con84,pro84
con95,pro95
con9,pro9
con74,pro74
con49,pro49
jou347,vol347
jou348,vol348
con43,pro43
jou349,vol349
con21,pro21
con95,pro95
jou350,vol350
con91,pro91
con6,pro6
con24,pro24
con86,pro86
con79,pro79
con26,pro26
jou106,vol106
con41,pro41
con94,pro94
con72,pro72
jou18,vol18
jou351,vol351
jou351,vol351
jou352,vol352
con41,pro41
con111,pro111
con50,pro50
con46,pro46
jou230,vol230
con56,pro56
con98,pro98
con76,pro76
con14,pro14
con9,pro9
con101,pro101
con15,pro15
con97,pro97
con74,pro74
con46,pro46
jou353,vol353
con105,pro105
jou354,vol354
con82,pro82
con96,pro96
con105,pro105
con24,pro24
con83,pro83
con70,pro70
con109,pro109
con99,pro99
jou355,vol355
con76,pro76
con64,pro64
con64,pro64
con68,pro68
con2,pro2
jou356,vol356
con22,pro22
jou357,vol357
jou245,vol245
con105,pro105
jou290,vol290
jou358,vol358
jou359,vol359
jou360,vol360
jou3,vol3
con108,pro108
jou290,vol290
con23,pro23
con66,pro66
jou120,vol120
con42,pro42
con54,pro54
con74,pro74
con93,pro93
con37,pro37
con53,pro53
jou308,vol308
jou106,vol106
con32,pro32
con13,pro13
con58,pro58
con105,pro105
con21,pro21
con46,pro46
con12,pro12
con45,pro45
con89,pro89
con46,pro46
jou361,vol361
con50,pro50
jou347,vol347
con109,pro109
jou345,vol345
con33,pro33
con40,pro40
con98,pro98
jou362,vol362
con91,pro91
con69,pro69
con27,pro27
con1,pro1
con55,pro55
con82,pro82
jou262,vol262
con89,pro89
con75,pro75
con89,pro89
jou43,vol43
con22,pro22
con31,pro31
con13,pro13
con41,pro41
con97,pro97
con74,pro74
jou146,vol146
con57,pro57
jou232,vol232
jou363,vol363
con98,pro98
con54,pro54
con2,pro2
con97,pro97
con63,pro63
con34,pro34
jou106,vol106
con89,pro89
con55,pro55
con68,pro68
con45,pro45
con67,pro67
con78,pro78
con87,pro87
con98,pro98
con71,pro71
con66,pro66
con43,pro43
jou345,vol345
con110,pro110
con70,pro70
con89,pro89
con100,pro100
jou221,vol221
con32,pro32
con27,pro27
con53,pro53
con99,pro99
con100,pro100
jou43,vol43
con99,pro99
con71,pro71
jou364,vol364
jou262,vol262
con6,pro6
con9,pro9
jou3,vol3
jou365,vol365
con85,pro85
con100,pro100
con26,pro26
con4,pro4
con16,pro16
con19,pro19
jou366,vol366
con59,pro59
con71,pro71
con15,pro15
jou367,vol367
con11,pro11
con74,pro74
con36,pro36
con59,pro59
con95,pro95
con104,pro104
con99,pro99
con59,pro59
con22,pro22
con70,pro70
con4,pro4
con104,pro104
con101,pro101
con17,pro17
con0,pro0
con28,pro28
jou368,vol368
con30,pro30
jou229,vol229
con2,pro2
jou5,vol5
con74,pro74
con81,pro81
jou106,vol106
jou369,vol369
con89,pro89
jou299,vol299
jou221,vol221
con105,pro105
jou262,vol262
jou370,vol370
con78,pro78
con51,pro51
con66,pro66
con46,pro46
jou371,vol371
con91,pro91
con64,pro64
con0,pro0
con89,pro89
con8,pro8
con101,pro101
con32,pro32
con77,pro77
jou372,vol372
con31,pro31
con106,pro106
con14,pro14
con46,pro46
con102,pro102
con20,pro20
jou373,vol373
con84,pro84
con30,pro30
con90,pro90
con58,pro58
con98,pro98
con52,pro52
con2,pro2
con103,pro103
con80,pro80
con13,pro13
con109,pro109
jou374,vol374
con6,pro6
con108,pro108
con82,pro82
con107,pro107
con39,pro39
con97,pro97
jou65,vol65
jou262,vol262
con90,pro90
con40,pro40
con67,pro67
con88,pro88
con87,pro87
jou375,vol375
con69,pro69
con6,pro6
con9,pro9
con64,pro64
con43,pro43
jou106,vol106
con50,pro50
con59,pro59
jou260,vol260
con28,pro28
con36,pro36
con59,pro59
con66,pro66
con98,pro98
con58,pro58
con11,pro11
con17,pro17
jou216,vol216
con33,pro33
con5,pro5
con4,pro4
con2,pro2
con89,pro89
con6,pro6
jou262,vol262
con100,pro100
con84,pro84
jou376,vol376
con46,pro46
con56,pro56
con70,pro70
con62,pro62
con78,pro78
con104,pro104
con24,pro24
con72,pro72
con9,pro9
con106,pro106
con51,pro51
jou133,vol133
jou113,vol113
jou228,vol228
jou377,vol377
con110,pro110
con18,pro18
con93,pro93
con19,pro19
con39,pro39
con85,pro85
con52,pro52
con75,pro75
con97,pro97
con8,pro8
jou378,vol378
con62,pro62
con13,pro13
con83,pro83
con89,pro89
con59,pro59
con50,pro50
con3,pro3
con21,pro21
con48,pro48
con96,pro96
con64,pro64
con68,pro68
con54,pro54
con105,pro105
con93,pro93
con23,pro23
con97,pro97
jou106,vol106
con63,pro63
con29,pro29
con84,pro84
con77,pro77
con32,pro32
con59,pro59
con97,pro97
con35,pro35
con25,pro25
con33,pro33
con106,pro106
con46,pro46
con69,pro69
con93,pro93
con29,pro29
con110,pro110
con47,pro47
con68,pro68
con10,pro10
con107,pro107
con88,pro88
con96,pro96
con16,pro16
con28,pro28
con63,pro63
jou372,vol372
con4,pro4
con79,pro79
jou106,vol106
con3,pro3
con53,pro53
con27,pro27
con108,pro108
con103,pro103
jou219,vol219
con73,pro73
con53,pro53
con83,pro83
con21,pro21
con11,pro11
con53,pro53
con97,pro97
con28,pro28
jou379,vol379
con51,pro51
con10,pro10
con106,pro106
con31,pro31
con25,pro25
con49,pro49
con59,pro59
con29,pro29
con6,pro6
con64,pro64
con104,pro104
con65,pro65
con108,pro108
con103,pro103
con58,pro58
con22,pro22
con22,pro22
jou380,vol380
con13,pro13
jou232,vol232
con92,pro92
con63,pro63
con25,pro25
con102,pro102
con85,pro85
jou381,vol381
con22,pro22
con68,pro68
jou382,vol382
jou383,vol383
con103,pro103
con34,pro34
con93,pro93
con103,pro103
con97,pro97
jou230,vol230
jou43,vol43
con14,pro14
con23,pro23
con109,pro109
jou103,vol103
con67,pro67
con110,pro110
con38,pro38
con78,pro78
con74,pro74
con45,pro45
con111,pro111
jou171,vol171
con64,pro64
con14,pro14
con99,pro99
con20,pro20
jou384,vol384
con92,pro92
con110,pro110
con6,pro6
jou187,vol187
con77,pro77
con27,pro27
