volumeId,volumeName,volumeYear
vol0,journal0,2018
vol1,journal1,2002
vol2,journal2,2011
vol3,journal3,2011
vol4,journal4,2008
vol5,journal5,2003
vol6,journal6,2009
vol7,journal7,2015
vol8,journal8,2013
vol9,journal9,2019
vol10,journal10,2006
vol11,journal11,2013
vol12,journal12,2016
vol13,journal13,2022
vol14,journal14,2008
vol15,journal15,2017
vol16,journal16,2009
vol17,journal17,2017
vol18,journal18,2016
vol19,journal19,2020
vol20,journal20,2016
vol21,journal21,2003
vol22,journal22,2006
vol23,journal23,2016
vol24,journal24,2022
vol25,journal25,2015
vol26,journal26,2013
vol27,journal27,2005
vol28,journal28,2014
vol29,journal29,2018
vol30,journal30,2019
vol31,journal31,2012
vol32,journal32,2018
vol33,journal33,2013
vol34,journal34,2016
vol35,journal35,2006
vol36,journal36,2018
vol37,journal37,2015
vol38,journal38,2004
vol39,journal39,2014
vol40,journal40,2002
vol41,journal41,2001
vol42,journal42,2015
vol43,journal43,2018
vol44,journal44,2003
vol45,journal45,2002
vol46,journal46,2012
vol47,journal47,2003
vol48,journal48,2005
vol49,journal49,2004
vol50,journal50,2020
vol51,journal51,2015
vol52,journal52,2016
vol53,journal53,2005
vol54,journal54,2015
vol55,journal55,2014
vol56,journal56,2017
vol57,journal57,2015
vol58,journal58,2011
vol59,journal59,2009
vol60,journal60,2015
vol61,journal61,2014
vol62,journal62,2011
vol63,journal63,2021
vol64,journal64,2017
vol65,journal65,2017
vol66,journal66,2005
vol67,journal67,2008
vol68,journal68,2011
vol69,journal69,2020
vol70,journal70,2002
vol71,journal71,2022
vol72,journal72,2007
vol73,journal73,2021
vol74,journal74,2019
vol75,journal75,2019
vol76,journal76,2021
vol77,journal77,2016
vol78,journal78,2001
vol79,journal79,2004
vol80,journal80,2010
vol81,journal81,2014
vol82,journal82,2008
vol83,journal83,2010
vol84,journal84,2003
vol85,journal85,2002
vol86,journal86,2020
vol87,journal87,2018
vol88,journal88,2004
vol89,journal89,2010
vol90,journal90,2006
vol91,journal91,2022
vol92,journal92,2016
vol93,journal93,2005
vol94,journal94,2012
vol95,journal95,2020
vol96,journal96,2013
vol97,journal97,2007
vol98,journal98,2012
vol99,journal99,2006
vol100,journal100,2003
vol101,journal101,2019
vol102,journal102,2007
vol103,journal103,2014
vol104,journal104,2007
vol105,journal105,2004
vol106,journal106,2022
vol107,journal107,2010
vol108,journal108,2015
vol109,journal109,2017
vol110,journal110,2014
vol111,journal111,2015
vol112,journal112,2022
vol113,journal113,2018
vol114,journal114,2007
vol115,journal115,2009
vol116,journal116,2020
vol117,journal117,2012
vol118,journal118,2004
vol119,journal119,2021
vol120,journal120,2021
vol121,journal121,2001
vol122,journal122,2007
vol123,journal123,2014
vol124,journal124,2020
vol125,journal125,2014
vol126,journal126,2013
vol127,journal127,2021
vol128,journal128,2007
vol129,journal129,2003
vol130,journal130,2014
vol131,journal131,2003
vol132,journal132,2002
vol133,journal133,2012
vol134,journal134,2009
vol135,journal135,2012
vol136,journal136,2015
vol137,journal137,2014
vol138,journal138,2007
vol139,journal139,2021
vol140,journal140,2010
vol141,journal141,2015
vol142,journal142,2010
vol143,journal143,2017
vol144,journal144,2016
vol145,journal145,2017
vol146,journal146,2009
vol147,journal147,2013
vol148,journal148,2015
vol149,journal149,2021
vol150,journal150,2011
vol151,journal151,2012
vol152,journal152,2009
vol153,journal153,2016
vol154,journal154,2015
vol155,journal155,2016
vol156,journal156,2019
vol157,journal157,2016
vol158,journal158,2003
vol159,journal159,2018
vol160,journal160,2012
vol161,journal161,2013
vol162,journal162,2006
vol163,journal163,2020
vol164,journal164,2014
vol165,journal165,2019
vol166,journal166,2003
vol167,journal167,2020
vol168,journal168,2010
vol169,journal169,2001
vol170,journal170,2019
vol171,journal171,2011
vol172,journal172,2021
vol173,journal173,2011
vol174,journal174,2003
vol175,journal175,2013
vol176,journal176,2020
vol177,journal177,2012
vol178,journal178,2010
vol179,journal179,2020
vol180,journal180,2006
vol181,journal181,2008
vol182,journal182,2006
vol183,journal183,2010
vol184,journal184,2004
vol185,journal185,2018
vol186,journal186,2002
vol187,journal187,2008
vol188,journal188,2019
vol189,journal189,2003
vol190,journal190,2014
vol191,journal191,2007
vol192,journal192,2019
vol193,journal193,2019
vol194,journal194,2015
vol195,journal195,2019
vol196,journal196,2001
vol197,journal197,2013
vol198,journal198,2007
vol199,journal199,2011
vol200,journal200,2019
vol201,journal201,2007
vol202,journal202,2017
vol203,journal203,2019
vol204,journal204,2011
vol205,journal205,2002
vol206,journal206,2022
vol207,journal207,2019
vol208,journal208,2002
vol209,journal209,2002
vol210,journal210,2019
vol211,journal211,2012
vol212,journal212,2013
vol213,journal213,2011
vol214,journal214,2020
vol215,journal215,2021
vol216,journal216,2006
vol217,journal217,2006
vol218,journal218,2004
vol219,journal219,2020
vol220,journal220,2012
vol221,journal221,2006
vol222,journal222,2001
vol223,journal223,2018
vol224,journal224,2017
vol225,journal225,2012
vol226,journal226,2003
vol227,journal227,2013
vol228,journal228,2015
vol229,journal229,2019
vol230,journal230,2012
vol231,journal231,2002
vol232,journal232,2005
vol233,journal233,2015
vol234,journal234,2016
vol235,journal235,2020
vol236,journal236,2015
vol237,journal237,2015
vol238,journal238,2020
vol239,journal239,2006
vol240,journal240,2012
vol241,journal241,2014
vol242,journal242,2011
vol243,journal243,2018
vol244,journal244,2017
vol245,journal245,2015
vol246,journal246,2013
vol247,journal247,2007
vol248,journal248,2004
vol249,journal249,2014
vol250,journal250,2021
vol251,journal251,2005
vol252,journal252,2002
vol253,journal253,2006
vol254,journal254,2021
vol255,journal255,2021
vol256,journal256,2007
vol257,journal257,2019
vol258,journal258,2014
vol259,journal259,2012
vol260,journal260,2018
vol261,journal261,2013
vol262,journal262,2002
vol263,journal263,2020
vol264,journal264,2002
vol265,journal265,2006
vol266,journal266,2010
vol267,journal267,2008
vol268,journal268,2002
vol269,journal269,2019
vol270,journal270,2006
vol271,journal271,2004
vol272,journal272,2021
vol273,journal273,2019
vol274,journal274,2012
vol275,journal275,2006
vol276,journal276,2010
vol277,journal277,2002
vol278,journal278,2013
vol279,journal279,2020
vol280,journal280,2014
vol281,journal281,2003
vol282,journal282,2012
vol283,journal283,2007
vol284,journal284,2016
vol285,journal285,2006
vol286,journal286,2006
vol287,journal287,2013
vol288,journal288,2015
vol289,journal289,2011
vol290,journal290,2002
vol291,journal291,2006
vol292,journal292,2006
vol293,journal293,2019
vol294,journal294,2014
vol295,journal295,2005
vol296,journal296,2017
vol297,journal297,2021
vol298,journal298,2013
vol299,journal299,2004
vol300,journal300,2013
vol301,journal301,2004
vol302,journal302,2008
vol303,journal303,2004
vol304,journal304,2014
vol305,journal305,2021
vol306,journal306,2010
vol307,journal307,2010
vol308,journal308,2018
vol309,journal309,2021
vol310,journal310,2004
vol311,journal311,2012
vol312,journal312,2017
vol313,journal313,2020
vol314,journal314,2016
vol315,journal315,2020
vol316,journal316,2008
vol317,journal317,2018
vol318,journal318,2010
vol319,journal319,2001
vol320,journal320,2022
vol321,journal321,2006
vol322,journal322,2022
vol323,journal323,2013
vol324,journal324,2008
vol325,journal325,2004
vol326,journal326,2017
vol327,journal327,2021
vol328,journal328,2016
vol329,journal329,2004
vol330,journal330,2019
vol331,journal331,2013
vol332,journal332,2019
vol333,journal333,2007
vol334,journal334,2010
vol335,journal335,2012
vol336,journal336,2003
vol337,journal337,2007
vol338,journal338,2020
vol339,journal339,2018
vol340,journal340,2017
vol341,journal341,2001
vol342,journal342,2003
vol343,journal343,2013
vol344,journal344,2002
vol345,journal345,2001
vol346,journal346,2021
vol347,journal347,2014
vol348,journal348,2011
vol349,journal349,2006
vol350,journal350,2002
vol351,journal351,2012
vol352,journal352,2011
vol353,journal353,2021
vol354,journal354,2016
vol355,journal355,2006
vol356,journal356,2001
vol357,journal357,2007
vol358,journal358,2005
vol359,journal359,2010
vol360,journal360,2007
vol361,journal361,2008
vol362,journal362,2008
vol363,journal363,2013
vol364,journal364,2020
vol365,journal365,2018
vol366,journal366,2019
vol367,journal367,2020
vol368,journal368,2014
vol369,journal369,2018
vol370,journal370,2001
vol371,journal371,2005
vol372,journal372,2001
vol373,journal373,2004
vol374,journal374,2001
vol375,journal375,2002
vol376,journal376,2022
vol377,journal377,2006
vol378,journal378,2004
vol379,journal379,2013
vol380,journal380,2003
vol381,journal381,2001
vol382,journal382,2022
vol383,journal383,2014
vol384,journal384,2022
